ID,Text Sample,Length,Word Count,Average Word Length,Vowel Count,Consonant Count,Unique Words,Stop Words Count,Special Characters,Digit Count,Punctuation Count,Uppercase Count,Lowercase Count,Has Accents,Has Diacritics,Character Diversity,Language Family,Script Type,Language
6060,你好，你好吗？,9,3,1.67,0,0,3,0,0,0,2,0,9,No,No,Low,Sino-Tibetan,Logographic,Chinese
6061,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Altaic,Arabic,Spanish
6062,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Medium,Indo-European,Logographic,Chinese
6063," oBcoçjna,? enumavrotm  ",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Medium,Austroasiatic,Cyrillic,French
6064,"OLÁ, COMO VOCÊ ESTÁ?",20,4,4.25,5,10,4,1,2,0,2,1,14,Yes,No,Medium,Austroasiatic,Devanagari,Portuguese
6065,"HALLO, WIE GEHT ES DIR?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,Low,Afro-Asiatic,Logographic,German
6066,",o wad iigtsr Hleeelh ?",23,5,3.8,7,10,5,2,2,0,2,1,16,No,No,Medium,Afro-Asiatic,Logographic,German
6067," oe¿smtal?cóHáos, ",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Altaic,Latin,Spanish
6068,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Sino-Tibetan,Devanagari,Arabic
6069,"tácó¿  ?elsmoo,saH",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Indo-European,Devanagari,Spanish
6070,"Привет, как дела?",17,3,5.0,0,13,3,0,2,0,2,1,12,No,No,Low,Altaic,Latin,Russian
6071,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Low,Sino-Tibetan,Arabic,Arabic
6072,"HELLO, HOW ARE YOU?",19,4,4.0,7,7,4,2,2,0,2,1,13,No,No,High,Altaic,Latin,English
6073,"e tisaiHo l dwerg?,h el",23,5,3.8,7,10,5,2,2,0,2,1,16,No,No,High,Altaic,Cyrillic,German
6074,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,High,Sino-Tibetan,Logographic,Thai
6075," eom,s¿ ?loHatáscó",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Afro-Asiatic,Logographic,Spanish
6076,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Altaic,Latin,Arabic
6077,"CIAO, COME STAI?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,Medium,Indo-European,Cyrillic,Italian
6078,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Low,Afro-Asiatic,Cyrillic,Danish
6079,，吗好好你你？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Austroasiatic,Hangul,Chinese
6080,你好好？你吗，,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Altaic,Cyrillic,Chinese
6081,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Austroasiatic,Hangul,Japanese
6082,ด็นสอุยงรคสับเปณ้วไางี่า,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Medium,Austroasiatic,Cyrillic,Thai
6083,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Sino-Tibetan,Hangul,Japanese
6084,"BONJOUR, COMMENT ÇA VA ?",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Low,Austroasiatic,Devanagari,French
6085,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Afro-Asiatic,Logographic,Chinese
6086,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,0,8,0,2,0,0,No,No,High,Afro-Asiatic,Latin,Hindi
6087,"Hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,Medium,Afro-Asiatic,Devanagari,English
6088,"wo d ? ,lltHs iegaerhei",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,High,Afro-Asiatic,Latin,German
6089,"n?hoi ỏ ạnkhXôb nk,he àcg",25,5,4.2,3,16,5,0,2,0,2,1,18,Yes,No,Low,Austroasiatic,Latin,Vietnamese
6090,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Medium,Austroasiatic,Cyrillic,Chinese
6091,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Medium,Austroasiatic,Arabic,Chinese
6092,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,High,Austroasiatic,Cyrillic,Thai
6093,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,Low,Austroasiatic,Hangul,Hindi
6094,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Austroasiatic,Logographic,Japanese
6095,"BONJOUR, COMMENT ÇA VA ?",24,5,4.0,7,11,5,0,2,0,2,1,17,No,Yes,Low,Austroasiatic,Latin,French
6096,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,High,Altaic,Cyrillic,Japanese
6097,"Hello, how are you?",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,Medium,Sino-Tibetan,Cyrillic,English
6098,"HOLA, ¿CÓMO ESTÁS?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Sino-Tibetan,Devanagari,Spanish
6099,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Altaic,Devanagari,Chinese
6100,"hallo, wie geht es dir?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,Low,Sino-Tibetan,Cyrillic,German
6101,"hej, hvordan har du det?",24,5,4.0,6,12,5,0,2,0,2,1,17,No,No,High,Altaic,Devanagari,Danish
6102,"Ciao, come stai?",16,3,4.67,7,5,3,1,2,0,2,1,11,No,No,Low,Altaic,Cyrillic,Italian
6103,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Medium,Altaic,Logographic,Danish
6104,",teoc ia Camo?si",16,3,4.67,7,5,3,1,2,0,2,1,11,No,No,High,Indo-European,Devanagari,Italian
6105,"요지녕 요 ,떻게하?안내어세세",16,3,4.67,0,12,3,0,2,0,2,0,0,No,No,Low,Altaic,Latin,Korean
6106,？你，你好好吗,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Afro-Asiatic,Devanagari,Chinese
6107," v jamoutrcBm?oç an en,o",24,5,4.0,7,11,5,0,2,0,2,1,17,No,Yes,High,Austroasiatic,Hangul,French
6108,元？こです気にんかはおち、,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Afro-Asiatic,Devanagari,Japanese
6109,"hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,High,Indo-European,Logographic,Danish
6110,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,High,Afro-Asiatic,Latin,German
6111,"HALLO, WIE GEHT ES DIR?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,High,Austroasiatic,Logographic,German
6112,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,Low,Indo-European,Devanagari,Spanish
6113,"안 게,하녕내어요떻세세? 지요",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,High,Indo-European,Latin,Korean
6114," , ltreea os eldi?Hhigw",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,High,Sino-Tibetan,Latin,German
6115,"HEJ, HVORDAN HAR DU DET?",24,5,4.0,6,12,5,2,2,0,2,1,17,No,No,Low,Indo-European,Arabic,Danish
6116,"o oóml,¿tcaseH ás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Altaic,Hangul,Spanish
6117,"BONJOUR, COMMENT ÇA VA ?",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Low,Altaic,Devanagari,French
6118,"Hello, how are you?",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,High,Altaic,Logographic,English
6119,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Medium,Altaic,Latin,Chinese
6120,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,2,2,0,2,1,18,Yes,No,Low,Altaic,Logographic,Vietnamese
6121,"eH,iiel r so hwe ?ldgat",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,High,Austroasiatic,Arabic,German
6122,"Привет, как дела?",17,3,5.0,0,13,3,0,2,0,2,1,12,No,No,High,Afro-Asiatic,Logographic,Russian
6123,"hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Altaic,Arabic,Spanish
6124,"떻세요하요안 세내녕?게지어 ,",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Medium,Austroasiatic,Arabic,Korean
6125,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Altaic,Latin,Arabic
6126,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Altaic,Devanagari,Japanese
6127,"o?sm¿ ó lcoatseH,á",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,High,Afro-Asiatic,Logographic,Spanish
6128,"Hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,Low,Afro-Asiatic,Arabic,English
6129,元ちおでこん気はか？す、に,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Austroasiatic,Arabic,Japanese
6130,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Afro-Asiatic,Hangul,Arabic
6131,"ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,High,Indo-European,Devanagari,Italian
6132,ん元おちすこはでかに気、？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,High,Afro-Asiatic,Latin,Japanese
6133,"ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,High,Sino-Tibetan,Hangul,Italian
6134,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,1,2,0,2,1,18,Yes,No,Medium,Austroasiatic,Arabic,Vietnamese
6135,بلفا كامر؟ حكيح,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,High,Indo-European,Hangul,Arabic
6136,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,High,Indo-European,Devanagari,Arabic
6137,"OLÁ, COMO VOCÊ ESTÁ?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,Low,Indo-European,Logographic,Portuguese
6138,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Medium,Indo-European,Cyrillic,Korean
6139,"Hello, how are you?",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,Low,Indo-European,Devanagari,English
6140,"привет, как дела?",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Low,Sino-Tibetan,Cyrillic,Russian
6141,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Altaic,Cyrillic,Chinese
6142,"ПРИВЕТ, КАК ДЕЛА?",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Medium,Austroasiatic,Latin,Russian
6143,"HALLO, WIE GEHT ES DIR?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,Low,Indo-European,Arabic,German
6144,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Low,Altaic,Cyrillic,Korean
6145,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Sino-Tibetan,Cyrillic,Japanese
6146,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Medium,Sino-Tibetan,Hangul,Danish
6147,مرحبا كيف حالك؟,15,3,4.33,0,12,3,1,1,0,0,0,0,No,No,High,Altaic,Cyrillic,Arabic
6148,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,Medium,Afro-Asiatic,Devanagari,French
6149,"떻안요세녕하어?내세요게 지 ,",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,High,Altaic,Devanagari,Korean
6150,"olá, como você está?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,Medium,Indo-European,Arabic,Portuguese
6151,"адк ет и?еврлП,ка",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Low,Afro-Asiatic,Arabic,Russian
6152,"olá, como você está?",20,4,4.25,5,10,4,1,2,0,2,1,14,Yes,No,Low,Altaic,Devanagari,Portuguese
6153,"s aecioo?tami, C",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,Low,Indo-European,Logographic,Italian
6154,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,0,2,0,2,0,0,No,No,Medium,Austroasiatic,Latin,Korean
6155,"BONJOUR, COMMENT ÇA VA ?",24,5,4.0,7,11,5,0,2,0,2,1,17,No,Yes,Medium,Sino-Tibetan,Arabic,French
6156,"mtçr c? oo n onj,mvaeBua",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,Low,Indo-European,Latin,French
6157,"Привет, как дела?",17,3,5.0,0,13,3,0,2,0,2,1,12,No,No,Low,Afro-Asiatic,Latin,Russian
6158,"om,c iaioes?aCt ",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,High,Sino-Tibetan,Latin,Italian
6159,"OLÁ, COMO VOCÊ ESTÁ?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,High,Afro-Asiatic,Devanagari,Portuguese
6160,"Hej, hvordan har du det?",24,5,4.0,6,12,5,2,2,0,2,1,17,No,No,Medium,Sino-Tibetan,Devanagari,Danish
6161,"Hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,High,Austroasiatic,Latin,English
6162,"HALLO, WIE GEHT ES DIR?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,Low,Austroasiatic,Arabic,German
6163,，你？你好好吗,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Afro-Asiatic,Latin,Chinese
6164,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Medium,Austroasiatic,Cyrillic,Korean
6165,"tasmeó l?ocáo, ¿Hs",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Sino-Tibetan,Hangul,Spanish
6166,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,1,8,0,2,0,0,No,No,Medium,Austroasiatic,Cyrillic,Hindi
6167,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Medium,Indo-European,Logographic,Spanish
6168,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,2,2,0,2,1,18,Yes,No,Low,Austroasiatic,Latin,Vietnamese
6169,"olá, como você está?",20,4,4.25,5,10,4,2,2,0,2,1,14,Yes,No,Low,Indo-European,Hangul,Portuguese
6170,"b oạàki,g e hnôk chnhỏXn?",25,5,4.2,3,16,5,0,2,0,2,1,18,Yes,No,Low,Altaic,Latin,Vietnamese
6171,"eolatmá Hó¿?scos, ",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Sino-Tibetan,Hangul,Spanish
6172,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Medium,Afro-Asiatic,Arabic,Korean
6173,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,High,Afro-Asiatic,Arabic,Thai
6174,"HALLO, WIE GEHT ES DIR?",23,5,3.8,7,10,5,2,2,0,2,1,16,No,No,Low,Sino-Tibetan,Devanagari,German
6175,"OLÁ, COMO VOCÊ ESTÁ?",20,4,4.25,5,10,4,2,2,0,2,1,14,Yes,No,Low,Afro-Asiatic,Latin,Portuguese
6176,"HEJ, HVORDAN HAR DU DET?",24,5,4.0,6,12,5,2,2,0,2,1,17,No,No,High,Sino-Tibetan,Logographic,Danish
6177,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Indo-European,Devanagari,Arabic
6178, اابكر م؟حليحفك,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Indo-European,Devanagari,Arabic
6179,"संै  न,आै?े ेपकम्सतह",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,Low,Austroasiatic,Cyrillic,Hindi
6180,"hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,High,Indo-European,Latin,English
6181,"HEJ, HVORDAN HAR DU DET?",24,5,4.0,6,12,5,0,2,0,2,1,17,No,No,High,Altaic,Devanagari,Danish
6182,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Indo-European,Hangul,Japanese
6183,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Austroasiatic,Hangul,Chinese
6184,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,1,8,0,2,0,0,No,No,Low,Indo-European,Hangul,Hindi
6185,かはこ、にす気ん元お？ちで,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,High,Afro-Asiatic,Devanagari,Japanese
6186,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Sino-Tibetan,Arabic,Hindi
6187,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Altaic,Logographic,Hindi
6188,"hello, how are you?",19,4,4.0,7,7,4,1,2,0,2,1,13,No,No,Medium,Indo-European,Cyrillic,English
6189,"so¿áóecmo  ?sa,tlH",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Austroasiatic,Arabic,Spanish
6190,"eree i? oawsh li ldgt,H",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,High,Afro-Asiatic,Arabic,German
6191,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Afro-Asiatic,Latin,Japanese
6192,"olá, como você está?",20,4,4.25,5,10,4,1,2,0,2,1,14,Yes,No,Medium,Austroasiatic,Latin,Portuguese
6193,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Afro-Asiatic,Devanagari,Thai
6194,元おち、こ？んは気かすにで,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Medium,Sino-Tibetan,Arabic,Japanese
6195,"hallo, wie geht es dir?",23,5,3.8,7,10,5,0,2,0,2,1,16,No,No,High,Afro-Asiatic,Arabic,German
6196,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Austroasiatic,Cyrillic,Chinese
6197,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,High,Sino-Tibetan,Devanagari,German
6198,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Afro-Asiatic,Arabic,Thai
6199,"lótaecoH s,m¿á os?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Afro-Asiatic,Hangul,Spanish
6200,"CIAO, COME STAI?",16,3,4.67,7,5,3,1,2,0,2,1,11,No,No,Low,Sino-Tibetan,Logographic,Italian
6201,"HEJ, HVORDAN HAR DU DET?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Medium,Indo-European,Devanagari,Danish
6202,"привет, как дела?",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Low,Austroasiatic,Logographic,Russian
6203,"xin chào, bạn khỏe không?",25,5,4.2,3,16,5,2,2,0,2,1,18,Yes,No,High,Sino-Tibetan,Arabic,Vietnamese
6204,"bonjour, comment ça va ?",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Medium,Indo-European,Arabic,French
6205,こんにちは、お元気ですか？,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Altaic,Hangul,Japanese
6206,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,Medium,Austroasiatic,Hangul,Hindi
6207,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Austroasiatic,Devanagari,Thai
6208,にんすか、こで気元お？ちは,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,Low,Afro-Asiatic,Devanagari,Japanese
6209,"  ?सपैै,सआह् ेंमकतने",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Austroasiatic,Logographic,Hindi
6210,"d t d nao ,jehdavreuH?hr",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,Low,Sino-Tibetan,Devanagari,Danish
6211,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,0,2,0,2,1,18,Yes,No,Medium,Altaic,Latin,Vietnamese
6212,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Low,Indo-European,Devanagari,Arabic
6213," auoe l wohr?l,oeyH",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,High,Indo-European,Devanagari,English
6214,"Xin chào, bạn khỏe không?",25,5,4.2,3,16,5,0,2,0,2,1,18,Yes,No,High,Afro-Asiatic,Devanagari,Vietnamese
6215,"ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,Medium,Indo-European,Devanagari,Italian
6216,مرحبا كيف حالك؟,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,High,Sino-Tibetan,Logographic,Arabic
6217,"ैस ?है ,केपन मस्ंतआे",20,4,4.25,0,9,4,0,8,0,2,0,0,No,No,High,Altaic,Cyrillic,Hindi
6218,"xin chào, bạn khỏe không?",25,5,4.2,3,16,5,1,2,0,2,1,18,Yes,No,Low,Indo-European,Devanagari,Vietnamese
6219,"hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,High,Altaic,Logographic,Danish
6220,مرحبا كيف حالك؟,15,3,4.33,0,12,3,1,1,0,0,0,0,No,No,High,Sino-Tibetan,Devanagari,Arabic
6221,مرحبا كيف حالك؟,15,3,4.33,0,12,3,1,1,0,0,0,0,No,No,Low,Austroasiatic,Hangul,Arabic
6222,"hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,High,Sino-Tibetan,Hangul,Danish
6223,"?Hm aóclá stesoo,¿",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,High,Austroasiatic,Latin,Spanish
6224,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,Medium,Austroasiatic,Devanagari,Spanish
6225,"olá, como você está?",20,4,4.25,5,10,4,2,2,0,2,1,14,Yes,No,Medium,Altaic,Logographic,Portuguese
6226,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Altaic,Cyrillic,Thai
6227,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Sino-Tibetan,Devanagari,Hindi
6228,ا رفح م؟كبايلكح,15,3,4.33,0,12,3,0,1,0,0,0,0,No,No,Medium,Sino-Tibetan,Cyrillic,Arabic
6229,"् स?आतस,  मेैेहकनैपं",20,4,4.25,0,9,4,2,8,0,2,0,0,No,No,High,Altaic,Devanagari,Hindi
6230,"BONJOUR, COMMENT ÇA VA ?",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,High,Sino-Tibetan,Logographic,French
6231,สวัสดีคุณเป็นอย่างไรบ้าง,24,1,24.0,0,18,1,0,6,0,0,0,0,No,No,Low,Altaic,Cyrillic,Thai
6232,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Medium,Afro-Asiatic,Latin,Spanish
6233,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,High,Indo-European,Arabic,Chinese
6234,？か元ちにす、はおこん気で,13,1,13.0,0,11,1,0,2,0,0,0,0,No,No,High,Indo-European,Logographic,Japanese
6235,"Ciao, come stai?",16,3,4.67,7,5,3,1,2,0,2,1,11,No,No,Medium,Sino-Tibetan,Devanagari,Italian
6236,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,2,2,0,2,1,16,No,No,Low,Altaic,Arabic,German
6237,"Hej, hvordan har du det?",24,5,4.0,6,12,5,1,2,0,2,1,17,No,No,High,Sino-Tibetan,Logographic,Danish
6238,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,0,2,0,2,0,0,No,No,Medium,Indo-European,Hangul,Korean
6239,"BONJOUR, COMMENT ÇA VA ?",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,High,Sino-Tibetan,Arabic,French
6240,"Ciao, come stai?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,High,Indo-European,Hangul,Italian
6241," O,mvtooêoc eááslc? ",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,High,Altaic,Cyrillic,Portuguese
6242,مرحبا كيف حالك؟,15,3,4.33,0,12,3,1,1,0,0,0,0,No,No,Low,Altaic,Latin,Arabic
6243,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,0,2,0,2,0,0,No,No,High,Sino-Tibetan,Logographic,Korean
6244,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Low,Austroasiatic,Latin,Chinese
6245,"xin chào, bạn khỏe không?",25,5,4.2,3,16,5,1,2,0,2,1,18,Yes,No,Medium,Austroasiatic,Arabic,Vietnamese
6246,"e oaow?l urhyH ,loe",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,High,Indo-European,Logographic,English
6247,"नमस्ते, आप कैसे हैं?",20,4,4.25,0,9,4,0,8,0,2,0,0,No,No,Medium,Austroasiatic,Arabic,Hindi
6248,"BONJOUR, COMMENT ÇA VA ?",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Medium,Afro-Asiatic,Logographic,French
6249,"olá, como você está?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,Medium,Altaic,Logographic,Portuguese
6250,"HELLO, HOW ARE YOU?",19,4,4.0,7,7,4,0,2,0,2,1,13,No,No,Medium,Altaic,Arabic,English
6251,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,1,2,0,2,1,17,No,Yes,High,Afro-Asiatic,Latin,French
6252,"Hello, how are you?",19,4,4.0,7,7,4,2,2,0,2,1,13,No,No,High,Afro-Asiatic,Cyrillic,English
6253,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Low,Indo-European,Cyrillic,Korean
6254,"안녕하세요, 어떻게 지내세요?",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,Low,Sino-Tibetan,Hangul,Korean
6255,"Привет, как дела?",17,3,5.0,0,13,3,1,2,0,2,1,12,No,No,Medium,Austroasiatic,Arabic,Russian
6256,"안게떻내하지요세요 세 ?녕어,",16,3,4.67,0,12,3,1,2,0,2,0,0,No,No,High,Austroasiatic,Cyrillic,Korean
6257,"CIAO, COME STAI?",16,3,4.67,7,5,3,0,2,0,2,1,11,No,No,Medium,Indo-European,Arabic,Italian
6258,"OLÁ, COMO VOCÊ ESTÁ?",20,4,4.25,5,10,4,0,2,0,2,1,14,Yes,No,Medium,Austroasiatic,Hangul,Portuguese
